stock_a,stock_b,corr
196490.KQ,043090.KQ,1.0
245620.KQ,106080.KQ,0.995408754936782
069460.KS,080720.KQ,0.9878083707738863
005385.KS,005389.KS,0.9799836343327751
005387.KS,005389.KS,0.9792988926552583
005387.KS,005385.KS,0.9792222763991382
001040.KS,00104K.KS,0.9659721503036163
003545.KS,003547.KS,0.952824975810994
0054V0.KQ,0096D0.KQ,0.9462723849785679
005930.KS,005935.KS,0.9462418089043229
015020.KS,065150.KQ,0.9366638418131926
028300.KQ,047920.KQ,0.9323219008076346
375500.KS,37550L.KS,0.9300924020939798
066570.KS,066575.KS,0.9217744701466888
002790.KS,00279K.KS,0.9183434303957237
071050.KS,071055.KS,0.9171828326117408
051910.KS,051915.KS,0.9156401845643207
000100.KS,000105.KS,0.9128176124393138
003550.KS,003555.KS,0.9123063280751745
034730.KS,03473K.KS,0.9105204484340742
005380.KS,005387.KS,0.9088800738013335
005380.KS,005389.KS,0.9052414080255138
003470.KS,003475.KS,0.9043324943582481
005380.KS,005385.KS,0.9041183703693175
336260.KS,33626K.KS,0.9031892547366427
009830.KS,009835.KS,0.9005636853941075
006800.KS,00680K.KS,0.9000552174074019
006400.KS,006405.KS,0.8998305418094575
001500.KS,001200.KS,0.8995132337037818
001500.KS,030210.KS,0.8968999944541733
